Resistance,Time
388.0,3.5
388.0,4.0
388.1,4.48
388.9,5.08
387.3,4.38
390.2,3.81
387.8,4.75
389.5,4.99
389.6,4.47
388.8,4.94
388.1,4.72
388.8,4.95
389.4,5.03
389.4,5.93
389.0,4.45
387.9,5.03
388.6,5.09
387.7,4.98
387.5,4.94
388.3,4.79
388.3,4.99
388.6,4.61
388.2,4.64
387.5,4.92
389.4,5.15
387.5,5.05
389.1,5.06
388.6,5.22
389.3,5.07
388.1,5.09
388.4,4.83
387.3,4.5
387.8,4.45
388.5,5.41
387.6,4.31
388.3,4.13
388.2,4.55
387.9,5.12
388.5,4.14
389.0,4.58
388.4,4.48
387.9,5.04
388.9,4.87
388.7,4.47
387.6,4.67
387.2,4.6
387.9,4.67
388.0,4.8
388.6,5.0
389.2,4.15
